video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7303725600458542379,2023-11-20T20:45:45,28,US,,8552,43,83,11800000,"#ad for a comfier period, always look for cotton products! @Discover Cotton #doctorperkins ",True,,callmedoctor.p,Dr. Kerry-Anne Perkins,,,,,,False
7310700649648344352,2023-12-09T15:52:23,64,ES,,4008,39,20,62100,#fyp #ghanatiktok🇬🇭 #eweblogger #akpenelove🇬🇭 #fypシ゚viral ,False,,beautyqueen_5l,ℰ𝓌ℯ ℬlogger_Beautyqueen👸,,,,,,False
7305496826621201707,2023-11-25T15:19:00,136,US,,48900,255,454,566000,Papaye restaurant 183 2300 grandcounses  Tel:7186760771 #papaye #papayerestaurant  #ghanafood ,False,,naanadonkorarthur,NDA,,,,,,False
7308092361790278918,2023-12-02T15:10:53,30,NG,,5921,10,104,92100,,False,,carinababy01,carinababy01,,,,,,False
7309231885647875334,2023-12-05T16:52:49,15,CA,,9859,53,54,45600,20 meters??? Ijoba wizzy🫡,False,,ideraoluwaa,Ideraoluwa,,,,,,False
7309634315216751877,2023-12-06T18:54:27,137,TT,,44500,1097,464,363700,Youth Parliament debate  #trinidad #youthpolitics #youthparliament #politics #trini_tiktoks #fyp #fypシ ,False,,trini_bakannal,Trini Bakannal,,,,,,False
7301505648615869697,2023-11-14T21:11:03,12,,,3869,106,45,889000,Shop now before this collection sells out AGAIN!,True,,Savage X Fenty,Savage X Fenty,,,,,,False
7301716123026754822,2023-11-15T10:47:48,69,NG,,13300,50,78,85800,Replying to @Fayvor_peters New challenge guys…dig in to ur mothers wardrobe and dont forget to tag me in ur videos 😊,False,,oyins_gram_,Oyin❤️🥰 [spider girl ],,,,,,False
7310316153488936224,2023-12-08T15:00:21,14,GB,,45700,178,615,398600,RIP Showkey man 🕊️🤍 #1avinaas #tamil ,False,,1avinaas,AVI,,,,,,False
7308108161435618593,2023-12-02T16:12:10,259,IT,,36800,151,353,392300,,False,,streetreaction1,EasyTrend🌴,,,,,,False
7308157822083075361,2023-12-02T19:25:04,24,NL,,150700,1360,807,1600000,Yall gone wanna see the pics i took of him🤯check my last post🥹 #fyp #asake #asakemusic #rotterdam #ahoyrotterdam #manyafestival2023 #manyafestival ,False,,yeshuatjie,Yeshua Tjie,,,,,,False
7305840156093713697,2023-11-26T13:31:11,13,DE,,1070,23,17,17200,Mommy always been a baddie 😮‍💨🔥 @Ophelia Goldheart  #ghanatiktok🇬🇭 #ghanatiktokers🇬🇭🇬🇭🇬🇭 #ghanatiktokers🇬🇭 #fypghana #ghanafuodotcom #ghanatiktok #momanddaughter #momsoftiktok #momtok ,False,,paulina_rock,Paulina Rock,,,,,,False
7304771219226709254,2023-11-23T16:23:10,15,US,,97600,321,698,736900,#@Gel @Coree 💋 #ghanatiktokers🇬🇭🇬🇭🇬🇭 #tiktokghana🇬🇭goviral #🇬🇭🇬🇭🇺🇸🇺🇸 #fyppppppppppppppppppppppp #viraltiktok #vi #ghanatiktok🇬🇭 #ghanamusic #foryou #xyzbca #centralcee #commitmentissues #goviral #fypシ゚viral ,False,,mizz_bbyna,Abena Eshun,,,,,,False
7263653379044297986,2023-08-04T22:04:59,5,US,"I See Hair Reviews, iseehair, Glueless Wig, wigs, Isee Hair Wigs, Iseehair Glueless Wigs, Iseehairbeauty, Glueless Hair Wig, curly wig, Natural Hair Wig",41800,3068,808,2500000,😱😭Didn’t realize it’s a wig until she….. #i#iseehairbeauty#nogluewig#gluelesswig#weargowig#naturalhair#curlywig#fashion#wigs#explorepage#iseehair#handmadewig#tiktokshopacktoschool ,True,,iseehairbeauty,ISEEHAIR,,,,,,True
7297491047536545030,2023-11-04T02:32:23,345,GH,"confession of condemned prisoners, prisoners, condemned nigerian prisoners, condemned prison cases in ghana, nigeria, christian atsu prison, Reading Sad Confessions, Prisoners Edits, prisoners live in prison, woman in prison",214500,2878,3062,3800000,#fyp #tiktokghana🇬🇭🇬🇭🇬🇭_uk🇬🇧🇬🇧🇬🇧 #fypシ゚viral #ghanatiktok🇬🇭🇬🇭🇬🇭🇬🇭 #CONFESSION OF CONDEMNED PRISONERS,False,,crimecheckofficial,Official Crime Check TV GH,,,,,,False
7307037845854752042,2023-11-29T18:58:59,15,US,,1667,2,26,19400,Hair from @charmanty.hair style done by Hornam’s Saloon tel: 0244623407/0550700764  #charmanty #charmantyhair #ghanatiktok #ghanahairstyles #ghanahairstyle #accra #ghanahair #africanhairstyle #halfbraidshalfsewin #halfbraidshalfweave ,False,,martenni,Martenni 🇬🇭🇵🇭,,,,,,False
7309404616691551494,2023-12-06T04:03:05,25,GH,,30800,67,697,276900,odumodubluck ft black sheriff#foryoupage #tiktokghana🇬🇭 ,False,,amed_gray,Amed_Gray,,,,,,False
7306822062067289350,2023-11-29T05:01:28,96,GH,,4278,30,55,40200,Highlife Groove🔥🔥#bisdrum #trending #tiktok #3billion #viralvideo ,False,,bismarkopoku39,Bisdrum🥁🔥,,,,,,False
7311210536065191199,2023-12-11T00:51:26,65,US,,99100,165,317,717900,Cardi B performing “Finesse” for TikTok In The Mix. #cardi #cardib #fyp #xyzabc #bardigang #bardigangforeva #bruno #icon #bardi #stage ,False,,kartierbardi,KB 🌪️,,,,,,False
7311378669006572843,2023-12-11T11:43:51,124,US,,390,16,10,17100,Replying to @User watch this if you are considering the Chase Sapphire Reserve card #chasesapphirereserve #creditcard  #creditcardrewards #travelcreditcard #traveltok ,False,,amandaagy,Amanda Foriwaa,,,,,,False
7305962827708222726,2023-11-26T21:27:11,26,GH,,56100,290,409,568400,Meet the “nkosua ne meko” (egg) seller who has a masters degree,False,,_afrocultures_studios,Afroculture Events,,,,,,False
7289873605821779205,2023-10-14T13:52:47,92,GH,,15800,171,70,502300,Escaping the Grip of the Coronavirus: Aba Dhope's Journey from China to Accra #AbaDhope #TheDelayShow #SurgeOnnline #SurgeEntertainment ,False,,surgeonnline,Surgeonnline,,,,,,False
7289141292511022366,2023-10-12T14:31:07,35,US,,5741,163,34,129500,Peep the hat toss 😂 #wedding #nigerianwedding #togoleseweddings #traditionalwedding ,False,,theelovearchitect,love architect,,,,,,False
7289470622541909249,2023-10-13T11:49:01,10,,,15700,166,132,17000000,Evaluate Your Anxiety Today!,True,,Impulse - Brain Training,Impulse - Brain Training,,,,,,False
7308701735617318176,2023-12-04T06:35:43,118,DE,,1062,5,39,10700,Replying to @Abigail Domfe Rate my germanlised Twi 🫣🤣 #ghanatiktok🇬🇭 #ghana #ghanatiktokers🇬🇭🇬🇭🇬🇭 #fyp #fy #ghanavlog #twivoiceoverchallenge #twi #ghanaboy #trending ,False,,delbertasabere,rckstr,,,,,,False
7306720119823158533,2023-11-28T22:25:52,19,GH,,11700,144,231,101900,How do you guys do it 😂#😂😂😂😂😂 #kwadwosheldon #fypシ゚viral #🥲💔 #ghanatiktok🇬🇭 #trendingsound #foryoupage #foryou ,False,,prr_on_tiktok_,Adjor_fun_page🔱,,,,,,False
7306846992729165061,2023-11-29T06:38:11,298,GH,,9031,689,117,148000,"How a Harvard-trained Ghanaian Entrepreneur, Sangu Delle, overcame a $5million debt at age 26. He shares the mental health challenges, and how his solid financial model put in place failed due to uncontrollable and unpredictable factors.  DISCLAIMER: We don’t own any rights to the video or brands in it. This is shared for educational purposes. Credit to #ABSA and #Manifest.  #ypfッ #ypf #TheDUAH #viral #viraltiktok ",False,,theduah,Dr. Evans Duah(The DUAH),,,,,,False
7311406075431947526,2023-12-11T13:29:45,48,US,,83,0,4,750,We are UNDEFEATED 📌 #show #showinwarri #event #brownhillcoliseum #Januaryshow #1stshowofdyear #warrient #edgerhythm #undefeateddoncom #undefeatedriel #  #warriballers #showoftheday #warriartists #warricomedianstars,False,,undefeated_riel,UNDEFFEATED RIEL 🏆,,,,,,False
7307247385057529120,2023-11-30T08:32:02,50,GB,,23900,131,674,220700,Azonto is King #fypシ #fyp #ghanatiktok🇬🇭 #ghanadance #azontowarrior ,False,,blackmuscle91,BLACKMUSCLE91,,,,,,False
7298301470951116038,2023-11-06T05:57:12,62,GH,,7171,286,99,69900,Is that true 🤔…? #kwajosheldon #kingzack ,False,,kingzackgh2,KINGZACK,,,,,,False
7308877104857271594,2023-12-04T17:56:17,143,US,"hard wig soft life, bad wig white man, Sprinkle Sprinkle, shera seven wig, black girls with bad wigs with white men, Shein Wigs, christmas wishlist, Christmas Gift, christmas presents, Wig Hair",198700,11900,8340,1700000,Replying to @Ruthy A #sheinwig and some red lipstick is all you need to catch a billionaire man. here are my 5 tips to catch a billionaire man. #badwig #sprinklesprinkle #datingtips ,False,,ruthyandthebrain,IG: @ruthillea,,,,,,False
7307357476272360710,2023-11-30T15:39:10,91,GH,,5127,30,147,30500,MUSIC FOR THE SOUL - #PRAISE FEATURING @rockydawuni  DROPPING TOMORROW,False,,officialkwekuflick,Kweku Flick,,,,,,False
7307199461539794182,2023-11-30T05:25:58,35,NG,,1000000,4617,11200,7500000,🤣🤣🤣🤣🤣 @iamnasboi @Dikeh ,False,,realsydneytalker,SYDNEY 🕊,,,,,,True
7306721592896244994,2023-11-28T22:31:36,8,,,355,8,0,156400,MVMT Holiday Sale is on! ,True,,MVMT,MVMT,,,,,,False
7310809220453109024,2023-12-09T22:54:33,141,IT,,74100,886,1219,1200000,The little boy doesn't want a step mum because she is not good for his father#m_for_mercy28 #foryoupage #fyp #goviral ,False,,m_for_mercy28,m_for_mercy28,,,,,,False
7311347783582108934,2023-12-11T09:43:33,63,NG,,12300,110,92,105500,We had fun shooting this Lyrics video… Invited so many wereys and some other wereys couldnt make it for some reasons🤣🤣🤣🤣 I think i’ll shoot another version soon for more premium wereys🤣🤭 Enjoy the full Lyrics video on Youtube Now… 🤣😘🚀 #IJOLOKA feaurting Pasuma Wonder ❤️ #New#NewMusico#brodashaggis#pasumaktok ,False,,brodashaggi,BRODASHAGGI,,,,,,True
7310686820847619370,2023-12-09T14:58:49,93,US,,88100,3126,1094,583300,Yt: sheraseven  #sheraseven #sheraseven1 #sprinklesprinkle feminine #feminineenergy #innerwork #datingtips #datingadviceforwomen #datingtipsforwomen #providermen #polarity #masculineenergy #confidence #pedestalwife #thirdwifeenergy #marriage #husbandwife #5050relationships #5050 #5050relationship #5050dating #selflove #marriage #goddess #goddessenergy #westernwomen #easternwomen #hypergamy #hypergamylove #lifecoach #lifecoaching #relationshipcoach #lifeskills #levelup ,False,,feminineclips,Feminineclips,,,,,,False
7306407292818181378,2023-11-28T02:11:56,9,,,391,8,0,392500,Be proactive about thinning hair.,True,,NutrafolMen,NutrafolMen,,,,,,False
7307739714608500014,2023-12-01T16:22:34,15,US,,8931,64,120,62700,#cecibae18 #fyp #ghanatiktok🇬🇭 Im not crushing oo abeg…Micheal b….herhh lets stop😂😂😂😂 Who is your celebrity crush??,False,,cecibae18,Cecilia,,,,,,False
7301471346511465760,2023-11-14T18:58:06,77,GB,,133900,828,1043,2300000,Aura Starr performing her Grammy nominated song “rush” at Rema’s London concert. It’s the long pants for me though 😂🥰 #fyp #rema #remalondonconcert #remalondon #rema02concert ,False,,with_albright,with_albright,,,,,,False
7310591998698802465,2023-12-09T08:50:47,26,GH,,15100,12,75,131300,Our first rime spedning this holiday season together in Russia and we are so looking forward to it. Especially YG’s first experience with the winter season ❄️🎄 Let us know what type of videos you wantbto see from us?❤️  ,False,,yoofiandjane,YoofiandJane,,,,,,False
7297253577242774789,2023-11-03T11:10:50,20,GH,,65400,777,2414,863000,#duet with @Rush baby💋🧚🌼 #fyp #payola #💕💕😍😍😍😍😍😍😍😍🙏🙏🙏🙏🙏🙏 #😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 ,False,,abenapayolaa,Abena payola,,,,,,False
7309144774492179754,2023-12-05T11:15:14,46,US,,1637,8,41,18800,We have the vim! @Incredible wasty 🇬🇭🔥 dc: @Nana Atm #ghanatiktok🇬🇭 #ghanadancechallenge #ghanaian #afrodance #afrodancechallenge #accratiktok🇬🇭 #accraghana🇬🇭 ,False,,martenni,Martenni 🇬🇭🇵🇭,,,,,,False
7306122048336678146,2023-11-27T07:45:05,19,,,1306,48,24,431000,Take your videos from good to the best!,True,,motionarray.com,motionarray.com,,,,,,False
7307151264209538350,2023-11-30T02:19:36,86,GH,,22900,105,198,175600,Day 4! And today we went to @Luxs Beauty rate my hair on a scale of 1 to 10 🥰 #braids #ponytail #dulcieboateng ,False,,dulcie_ox,Dulcie Boateng,,,,,,False
7303284045394349317,2023-11-19T16:12:10,98,US,,116100,1348,3111,1200000,Na Mommy Toli Toli cause am 😂 😍❤️Who remember this song ? 😂😂😂#happytownproject #officialstarter_ #fyp ##viral ,False,,officialstarter_,Officialstarter_,,,,,,False
7311405816089759007,2023-12-11T13:29:06,18,US,,17,1,1,466,#good #life #hiphop #djs #viraldj ##CapCut ,False,,djgoodlyfe,DJ GOODLYFE THE CREATOR,,,,,,False
7310547808346557729,2023-12-09T05:59:20,71,GB,,32100,680,371,301900,Part 2 of the insightful conversation with @oseikromsikanii47 #relationship #reality #oseikromsikanii #wisdom #interview #ghanatiktok🇬🇭 #ghanatiktokers🇬🇭🇬🇭🇬🇭 #ghanafuodotcom #relatable #viral #fypシ ,False,,kasaaghana,Kasaa Ghana,,,,,,False
